ProposedIndex,IIHH,Shannon,Size,AssetTurnover,Debt,QuickRatio,CashHoldings,ROE,ROI,ROA
1.1261,2.801,1.2471,17.2297,0.45,0.27,1.6796,0.158,0.1452,0.1699,0.1025
1.1441,3.2026,1.2894,17.474,0.52,0.2,0.4772,0.0587,0.162,0.174,0.1171
1.1917,3.1017,1.259,17.3017,0.35,0.22,0.5006,0.02,0.0909,0.0831,0.0449
1.1218,2.6531,1.2296,17.129,0.27,1.31,0.005,0.0009,-0.1407,0.0108,-0.0473
1.2063,3.1172,1.3469,17.8522,0.26,1.54,0.2429,0.0655,-0.1449,0.0219,-0.0428
0.7994,2.3707,0.9509,18.227,0.27,1.04,0.8919,0.0523,0.2676,0.1507,0.1234
0.715,1.8478,0.7903,18.1516,0.16,0.73,0.3156,0.029,0.137,0.1393,0.0723
0.3895,1.0505,0.1287,18.1449,0.16,0.68,1.106,0.2772,0.1079,0.1327,0.0625
0.635,1.5728,0.5504,16.3377,0.3,0.39,0.6398,0.0563,0.2024,0.1344,0.1325
0.6483,1.6254,0.573,16.5138,0.3,0.9,3.4538,0.2261,0.1604,0.1563,0.0858
0.6413,1.6024,0.5634,16.5083,0.43,0.82,0.9131,0.2288,0.2737,0.2878,0.1378
1.0718,2.8227,1.0978,18.2158,0.78,0.85,0.4832,0.127,0.1216,0.1468,0.0482
0.967,2.3398,0.9677,18.1633,0.64,0.98,0.3411,0.071,0.0366,0.0644,0.0153
0.9613,2.4228,0.9621,19.14,0.66,0.75,0.292,0.0701,0.0619,0.0715,0.0272
0.6149,1.5334,0.5322,16.8971,0.68,0.57,0.4185,0.0596,-0.0083,0.0786,-0.0045
0.7255,1.9809,0.6883,16.939,0.65,0.52,0.6103,0.0703,0.0602,0.1062,0.0354
0.7073,1.8704,0.6581,17.1846,0.82,0.94,0.3583,0.0634,0.0008,0.1228,0.0004
0.401,1.2074,0.3137,15.2375,0.79,0.5,0.2382,0.3321,0.1782,0.0655,0.1021
0.6097,1.6232,0.5721,15.4631,0.86,0.65,0.1037,0.235,0.0335,0.0619,0.0162
0.1428,1.0228,0.0618,15.3094,0.75,0.57,0.1947,0.4476,0.049,0.0652,0.0244
0.6587,1.914,0.8776,18.5059,1.2,0.42,2.9224,0.212,0.1699,0.1621,0.0614
0.4132,2.3797,1.0838,18.5906,0.63,0.59,1.6643,0.1584,0.0211,0.0855,0.0123
0.3013,2.6464,1.131,18.877,0.58,0.54,1.7403,0.1391,0.1239,0.1821,0.0728
0.3985,1.1034,0.6243,16.7547,0.3,2.81,3.1164,0.2007,0.2053,0.2124,0.0668
